src_ip,src_port,dst_ip,dst_port,protocol,flow_duration,pkt_count_fwd,pkt_count_bwd,pkt_count_total,byte_count_fwd,byte_count_bwd,byte_count_total,mean_iat,min_iat,max_iat,std_iat,mean_pkt_size,min_pkt_size,max_pkt_size,bytes_per_pkt,pkt_rate,byte_rate,fwd_bwd_pkt_ratio,fwd_bwd_byte_ratio,syn_count,ack_count,fin_count,rst_count,psh_count,label
10.0.0.10,80,156.36.100.194,30610,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,1,1,0,0,0,syn_ack
10.0.0.10,80,11.72.137.141,49412,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,1,0,0,0,ack
10.0.0.10,80,56.115.1.143,6786,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,1,0,0,0,ack
10.0.0.10,0,189.207.206.42,0,ICMP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,0,0,icmp
10.0.0.10,80,96.15.25.21,38502,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,1,0,0,1,psh_ack
10.0.0.10,80,159.138.60.69,2118,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,1,0,0,1,psh_ack
10.0.0.10,80,22.229.49.133,60678,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,1,0,0,1,psh_ack
10.0.0.10,80,75.147.189.23,56590,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,1,0,0,0,0,icmp
10.0.0.10,80,65.225.206.193,60246,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,1,0,rst
10.0.0.10,80,12.1.63.170,3739,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,1,0,rst
10.0.0.10,80,248.144.55.234,37112,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,1,0,0,fin
10.0.0.10,80,36.3.230.140,39917,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,1,0,0,fin
10.0.0.10,80,230.206.55.114,40823,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,1,0,rst
10.0.0.10,0,237.242.246.53,0,ICMP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,0,0,icmp
10.0.0.10,80,59.182.144.140,18048,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,1,0,0,1,psh_ack
10.0.0.10,80,160.91.70.236,11760,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,1,0,0,0,0,syn
10.0.0.10,80,223.169.163.237,11935,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,1,0,0,0,ack
10.0.0.10,80,110.148.80.57,18969,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,1,0,0,1,psh_ack
10.0.0.10,80,214.166.215.15,52640,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,1,0,0,1,psh_ack
